VGR ordrsp verification result !!!
ORDRSP Copy back checked on 2014-12-01 at 2014-12-22_05-29-45
 
Integration Missing ordrsps Count - 5248
 
Database ordrsp count - 17029
 
Integration Missing ORDRSP ID/s list.
----------------------------------------------
ORDER ID | ORDRSP ID
 OR60763485|6928921
 OR60763486|6924193
 OR60763486|6929327
 OR60763487|6924194
 OR60763487|6928741
 OR60763488|1114669
 OR60763489|1114670
 OR60763492|1114677
 OR60763493|1114680
 OR60763494|1114681
 OR60763496|1114686
 OR60763497|6927077
 OR60763497|6928802
 OR60763498|6928041
 OR60763498|6928870
 OR60763499|6928119
 OR60763499|6929044
 OR60763500|1114697
 OR60763501|6928485
 OR60763501|6929332
 OR60763502|1114703
 OR60763503|612620
 OR60763504|1114705
 OR60763505|6928546
 OR60763505|6928926
 OR60763506|6928547
 OR60763506|6928912
 OR60763507|612634
 OR60763517|1114727
 OR60763521|6928933
 OR60763521|6929013
 OR60763521|6947387
 OR60763522|1114735
 OR60763523|6929203
 OR60763523|6929314
 OR60763524|6929205
 OR60763524|6929318
 OR60763525|1114767
 OR60763526|6930590
 OR60763526|6930630
 OR60763527|1114771
 OR60763529|612817
 OR60763530|1114775
 OR60763531|612832
 OR60763532|1114781
 OR60763533|612853
 OR60763534|612880
 OR60763535|1114807
 OR60763536|612882
 OR60763537|1114822
 OR60763538|612952
 OR60763539|1114841
 OR60763540|1114844
 OR60763541|1114850
 OR60763542|1114853
 OR60763543|1114855
 OR60763544|15824876
 OR60763545|612982
 OR60763546|1114860
 OR60763547|1114866
 OR60763548|6935258
 OR60763548|6950989
 OR60763549|6935260
 OR60763549|6950998
 OR60763550|613000
 OR60763551|1114874
 OR60763553|1114875
 OR60763554|1114889
 OR60763555|1114890
 OR60763556|613051
 OR60763557|1114906
 OR60763559|613087
 OR60763560|1114907
 OR60763561|6937387
 OR60763561|6951138
 OR60763562|1114924
 OR60763564|1114927
 OR60763565|1114930
 OR60763568|6938282
 OR60763568|6950911
 OR60763569|6938283
 OR60763569|6950947
 OR60763569|6969580
 OR60763572|6938953
 OR60763572|6950810
 OR60763573|6938954
 OR60763573|6950852
 OR60763574|1114989
 OR60763575|6939767
 OR60763575|6950785
 OR60763576|6939785
 OR60763576|6951312
 OR60763577|6939787
 OR60763577|6951321
 OR60763578|6939789
 OR60763578|6951330
 OR60763579|6939790
 OR60763579|6951382
 OR60763580|6939792
 OR60763580|6950849
 OR60763581|1115006
 OR60763582|1115007
 OR60763584|1115018
 OR60763585|1115033
 OR60763586|1115031
 OR60763589|1115082
 OR60763591|613368
 OR60763592|613369
 OR60763593|1115083
 OR60763594|1115084
 OR60763600|613476
 OR60763601|1115124
 OR60763602|1115125
 OR60763603|613515
 OR60763604|6943612
 OR60763604|6951441
 OR60763605|1115129
 OR60763606|6944070
 OR60763606|6951407
 OR60763607|1115137
 OR60763608|613543
 OR60763609|1115138
 OR60763613|6945246
 OR60763613|6951390
 OR60763614|1115182
 OR60763615|6945248
 OR60763615|6950966
 OR60763616|1115183
 OR60763617|613621
 OR60763618|1115190
 OR60763619|1115191
 OR60763623|1115196
 OR60763624|1115197
 OR60763625|1115198
 OR60763626|6945847
 OR60763626|6951454
 OR60763631|6946683
 OR60763631|6951474
 OR60763632|613651
 OR60763634|1115209
 OR60763635|613654
 OR60763636|1115236
 OR60763637|1115240
 OR60763642|1115248
 OR60763643|15828694
 OR60763647|6950657
 OR60763647|6950980
 OR60763648|6950742
 OR60763648|6950977
 OR60763649|6950743
 OR60763649|6950970
 OR60763650|1115255
 OR60763651|6950747
 OR60763651|6950955
 OR60763652|6950748
 OR60763652|6950959
 OR60763653|1115262
 OR60763654|1115263
 OR60763655|1115275
 OR60763656|6951363
 OR60763656|6951435
 OR60763657|6951535
 OR60763657|6951643
 OR60763658|6951536
 OR60763658|6951653
 OR60763659|6951537
 OR60763659|6951656
 OR60763662|1115284
 OR60763663|1115285
 OR60763664|1115286
 OR60763665|614010
 OR60763667|1115345
 OR60763668|1115346
 OR60763669|1115348
 OR60763670|1115361
 OR60763671|6955217
 OR60763671|6972829
 OR60763672|1115363
 OR60763673|15829987
 OR60763674|614147
 OR60763677|614181
 OR60763679|1115416
 OR60763680|614266
 OR60763682|6957982
 OR60763682|6972828
 OR60763683|1115424
 OR60763684|614293
 OR60763685|6958076
 OR60763685|6972837
 OR60763686|6958075
 OR60763686|6972838
 OR60763688|614324
 OR60763689|1115445
